student_id,course_id,mark,semester_number,predicted_mark,student_count_above_zero,course_count_above_zero,difference
21006,PHPP 741,84.0,2,76.54635995763242,40,1241,7.4536400423675815
15066,PHR 015,82.0,1,74.54732533496376,37,1165,7.452674665036241
33989,PHBM 654,81.0,1,73.54771065659749,26,1690,7.452289343402512
34500,PHR 209,82.0,1,74.55443486253009,13,1940,7.445565137469913
24759,PHAC 556,60.0,1,67.44550787804978,39,1597,7.445507878049781
24805,RQU101,49.0,2,41.556674208131305,22,2199,7.443325791868695
28445,PHBM 552,71.0,1,78.4423649906287,25,1437,7.442364990628704
8645,PHR 017,91.0,1,83.55792716446237,49,1306,7.44207283553763
28402,PHBM 751,82.0,2,74.56381423618618,27,1447,7.436185763813825
34111,PHPT 436,64.0,2,71.43530157421041,14,1972,7.435301574210413
8258,PHR 718,69.0,2,76.43450062987151,56,1275,7.434500629871508
33363,PHBM 654,59.0,2,66.43395426960035,12,1690,7.433954269600349
34189,PHCC 326,72.0,1,79.43333886289608,13,1928,7.433338862896079
8511,PHCC 927,75.0,1,67.56801846240822,54,953,7.431981537591781
8467,PHBM 947,68.0,1,75.43046008628701,54,1417,7.430460086287013
28479,PHR 017,85.0,2,77.56962941651007,25,1306,7.430370583489932
12854,PHR 718,90.0,1,82.57025288410412,53,1275,7.4297471158958786
28724,PHCC 728,84.0,1,91.42965927223447,38,1244,7.429659272234474
29540,PHR 512,66.0,2,73.427825683601,25,1596,7.427825683601
28025,PHAC 556,82.0,2,89.42781749866548,24,1597,7.427817498665476
11014,PHE5,61.0,1,53.57566684060955,53,792,7.42433315939045
10865,PHR 016,82.0,1,74.57631807543848,53,1323,7.423681924561521
14676,PHBM 848,85.0,2,77.5772472738436,37,1165,7.4227527261564035
29540,PHPT 535,60.0,2,67.42254290653706,25,1695,7.4225429065370605
12171,PHR 015,81.0,1,73.57930283537573,51,1165,7.420697164624272
7620,PHPP 840,53.0,1,60.41920735287023,58,1115,7.419207352870231
29644,PHAC 358,46.0,2,53.418502504575926,20,1723,7.418502504575926
8476,PHPT 833,62.0,2,54.58224355999608,53,1161,7.41775644000392
28687,PHR 310,66.0,1,73.41562287850806,25,1794,7.41562287850806
33568,PHAC 358,87.0,1,79.5847760449777,14,1723,7.415223955022299
8525,PHR 405,58.0,1,65.41452496572713,41,1329,7.414524965727125
5591,PHR 718,63.0,1,55.585983355669995,52,1275,7.414016644330005
35200,PHCC 326,70.0,1,62.59046738399776,15,1928,7.409532616002238
5587,PHPP 642,48.0,2,40.59154559755164,45,1493,7.408454402448363
34288,RQUE6,87.0,1,79.59249141843,23,257,7.407508581569999
33411,PHR 209,75.0,1,67.59258052817646,14,1940,7.407419471823545
2300,PHPT 030,63.0,1,55.5933345642232,63,950,7.406665435776802
8652,PHBM 947,69.0,2,61.59338886971108,49,1417,7.406611130288923
28143,PHBM 453,75.0,2,67.59402471279711,30,1743,7.405975287202892
34221,PHPC 446,75.0,1,82.40520964093383,13,1888,7.405209640933833
28161,PHBM 654,81.0,1,73.59487199462208,25,1690,7.405128005377918
28259,PHR 420,86.0,1,78.59603237328635,30,1406,7.403967626713651
19147,PHE5,82.0,1,89.40347624150704,37,792,7.403476241507036
28775,PHBM 751,73.0,2,65.59710997794957,42,1447,7.402890022050428
15056,PHPP 840,86.0,2,93.40096605147363,37,1115,7.400966051473631
29569,PHPT 932,66.0,2,73.40067735863242,19,1480,7.4006773586324215
34184,PHBM 149,44.0,1,51.40060870017942,12,2387,7.4006087001794185
33944,PHCC225,57.0,1,64.39986548840824,9,2218,7.399865488408238
25386,PHBM 848,90.0,2,82.60161590594757,36,1165,7.398384094052432
33332,PHCC 326,93.0,1,85.60402061240826,13,1928,7.395979387591737
10004,PHPP 642,58.0,1,50.60411609994177,38,1493,7.39588390005823
21149,PHPT 932,74.0,2,81.3955867425884,43,1480,7.3955867425884065
23835,PHR 718,82.0,1,74.60848873759014,36,1275,7.391511262409864
12018,PHE2,66.0,1,73.38740434668212,52,966,7.387404346682118
23389,PHR 016,82.0,1,74.61441873424597,34,1323,7.385581265754027
18846,PHCC 728,77.0,1,84.38428505538042,39,1244,7.384285055380417
24901,PHPT 931,74.0,1,66.61642905353989,46,1043,7.383570946460111
28395,PHPT 436,49.0,2,56.37869007970316,20,1972,7.378690079703162
7080,PHAC 556,50.0,1,57.377768806366845,31,1597,7.377768806366845
34287,PHPC 545,92.0,2,84.62647373624092,13,1641,7.373526263759075
